ticker,date,open,high,low,close
NFT,2022-05-17,7.38239e-07,7.75069e-07,7.30076e-07,7.71795e-07
NFT,2022-05-18,7.73693e-07,7.7397e-07,7.21233e-07,7.46129e-07
NFT,2022-05-19,7.46553e-07,7.72005e-07,7.18365e-07,7.69507e-07
NFT,2022-05-20,7.6963e-07,7.8677e-07,7.54917e-07,7.61086e-07
NFT,2022-05-21,7.60986e-07,8.0635e-07,7.56491e-07,7.86177e-07
NFT,2022-05-22,7.85977e-07,8.07929e-07,7.79086e-07,8.06131e-07
NFT,2022-05-23,8.06531e-07,8.54259e-07,7.96223e-07,8.33499e-07
NFT,2022-05-24,8.32899e-07,8.45584e-07,7.88132e-07,8.42403e-07
NFT,2022-05-25,8.43202e-07,8.66146e-07,8.29803e-07,8.5737e-07
NFT,2022-05-26,8.56757e-07,8.76035e-07,8.00099e-07,8.05993e-07
NFT,2022-05-27,8.05713e-07,8.13685e-07,7.62061e-07,7.67632e-07
NFT,2022-05-28,7.68531e-07,7.90314e-07,7.66026e-07,7.80086e-07
NFT,2022-05-29,7.80071e-07,7.88947e-07,7.68277e-07,7.80141e-07
NFT,2022-05-30,7.80433e-07,8.32817e-07,7.79189e-07,8.28736e-07
NFT,2022-05-31,8.2862e-07,8.30635e-07,8.02538e-07,8.20543e-07
NFT,2022-06-01,8.19768e-07,8.67805e-07,8.10289e-07,8.14067e-07
NFT,2022-06-02,8.14358e-07,8.34748e-07,7.9958e-07,8.27654e-07
NFT,2022-06-03,8.27754e-07,8.38429e-07,7.99008e-07,8.07897e-07
NFT,2022-06-04,8.08196e-07,8.17246e-07,7.79643e-07,8.1548e-07
NFT,2022-06-05,8.1558e-07,8.46471e-07,8.08093e-07,8.40209e-07
NFT,2022-06-06,8.3971e-07,8.68887e-07,8.28928e-07,8.53474e-07
NFT,2022-06-07,8.53383e-07,8.70425e-07,8.15714e-07,8.69387e-07
NFT,2022-06-08,8.69195e-07,9.63954e-07,8.54293e-07,9.43486e-07
NFT,2022-06-09,9.43386e-07,9.55449e-07,8.99598e-07,9.52e-07
NFT,2022-06-10,9.52399e-07,9.77878e-07,9.03042e-07,9.20829e-07
NFT,2022-06-11,9.20829e-07,9.49973e-07,8.07087e-07,8.42047e-07
NFT,2022-06-12,8.41939e-07,8.65882e-07,8.01673e-07,8.37469e-07
