ticker,date,open,high,low,close
KNC,2022-06-26,1.52193,1.54295,1.43614,1.4731
KNC,2022-06-27,1.47409,1.49198,1.37372,1.41674
KNC,2022-06-28,1.41775,1.49254,1.35659,1.37031
KNC,2022-06-29,1.3703,1.37432,1.2753,1.3194
KNC,2022-06-30,1.32141,1.32539,1.17353,1.20156
KNC,2022-07-01,1.203,1.2926,1.1964,1.22595
KNC,2022-07-05,1.26848,1.40032,1.22453,1.37648
KNC,2022-07-06,1.37549,1.42643,1.34352,1.37948
KNC,2022-07-07,1.38048,1.41587,1.35637,1.40716
KNC,2022-07-08,1.40716,1.43414,1.35705,1.39116
KNC,2022-07-09,1.39017,1.42215,1.37304,1.40216
KNC,2022-07-10,1.40302,1.40516,1.31408,1.3302
KNC,2022-07-11,1.33036,1.33036,1.26499,1.27785
KNC,2022-07-12,1.2791,1.2791,1.20567,1.20779
KNC,2022-07-13,1.21623,1.28561,1.18582,1.24897
KNC,2022-07-14,1.24897,1.32927,1.22542,1.32031
KNC,2022-07-15,1.32041,1.45503,1.31131,1.43097
KNC,2022-07-16,1.43097,1.44147,1.331,1.39168
KNC,2022-07-17,1.39222,1.40843,1.3496,1.38074
KNC,2022-07-18,1.38053,1.46775,1.35089,1.41877
KNC,2022-07-19,1.41877,1.62873,1.41086,1.53765
KNC,2022-07-20,1.5371,1.58173,1.42056,1.47827
KNC,2022-07-21,1.47917,1.48451,1.36177,1.46475
KNC,2022-07-22,1.47247,1.49506,1.38923,1.39541
KNC,2022-07-23,1.4019,1.46992,1.37727,1.41057
KNC,2022-07-24,1.41044,1.46556,1.4028,1.44169
KNC,2022-07-25,1.44169,1.49371,1.3635,1.38522
KNC,2022-07-26,1.38971,1.39303,1.28573,1.3182
KNC,2022-07-27,1.318,1.41563,1.31356,1.41164
KNC,2022-07-28,1.41174,1.50259,1.40437,1.4888
KNC,2022-07-29,1.50102,1.6691,1.48841,1.62847
KNC,2022-07-30,1.62957,1.72742,1.61142,1.61485
KNC,2022-07-31,1.61458,1.6299,1.55795,1.57926
KNC,2022-08-01,1.57817,1.60838,1.51581,1.53956
KNC,2022-08-02,1.55307,1.63214,1.46834,1.50656
KNC,2022-08-03,1.50646,1.52173,1.4418,1.50678
KNC,2022-08-04,1.50435,1.52519,1.4514,1.50036
KNC,2022-08-05,1.50095,1.62206,1.48417,1.5901
KNC,2022-08-06,1.59,1.61691,1.56003,1.57255
KNC,2022-08-07,1.57255,1.58228,1.54722,1.57588
KNC,2022-08-08,1.5846,1.63141,1.56437,1.60231
KNC,2022-08-09,1.60129,1.63993,1.49298,1.53121
KNC,2022-08-10,1.53121,1.61097,1.48404,1.60236
KNC,2022-08-11,1.60238,1.75909,1.59538,1.68239
KNC,2022-08-12,1.68239,1.69525,1.62391,1.68387
KNC,2022-08-13,1.68326,1.7386,1.67322,1.72417
KNC,2022-08-14,1.72417,1.73246,1.63663,1.6654
KNC,2022-08-15,1.66377,1.7772,1.63282,1.67452
KNC,2022-08-16,1.67872,1.68822,1.59679,1.65405
KNC,2022-08-17,1.65403,1.7012,1.54557,1.66762
KNC,2022-08-18,1.66692,1.79794,1.6234,1.78382
KNC,2022-08-19,1.78308,1.84828,1.6715,1.74407
KNC,2022-08-20,1.74537,1.81539,1.70852,1.76618
KNC,2022-08-21,1.76886,1.81395,1.7176,1.78906
KNC,2022-08-22,1.78976,1.9151,1.76172,1.87976
KNC,2022-08-23,1.87776,1.94988,1.82008,1.89904
KNC,2022-08-24,1.89881,1.9721,1.83417,1.87127
KNC,2022-08-25,1.88537,1.88919,1.77662,1.83015
KNC,2022-08-26,1.83015,1.83095,1.70256,1.73897
KNC,2022-08-27,1.73897,1.82663,1.68427,1.80095
KNC,2022-08-28,1.79714,1.81552,1.69228,1.6924
KNC,2022-08-29,1.6882,1.70362,1.62305,1.69852
KNC,2022-08-30,1.69874,1.77657,1.65182,1.75596
KNC,2022-08-31,1.75614,1.76166,1.71065,1.75688
KNC,2022-09-01,1.75648,1.78692,1.67987,1.76669
KNC,2022-09-02,1.77519,1.81903,1.7446,1.79717
KNC,2022-09-03,1.79719,1.80081,1.697,1.7015
KNC,2022-09-04,1.70167,1.71357,1.6662,1.6874
KNC,2022-09-05,1.6873,1.6955,1.6339,1.66027
KNC,2022-09-06,1.66027,1.7336,1.65307,1.6801
KNC,2022-09-07,1.6793,1.74649,1.67003,1.73922
KNC,2022-09-08,1.7387,1.79969,1.72827,1.77618
KNC,2022-09-09,1.7754,1.8817,1.76414,1.84431
KNC,2022-09-10,1.84437,2.01346,1.82643,1.98968
KNC,2022-09-11,2.0045,2.08983,1.95844,1.98738
KNC,2022-09-12,1.9872,2.02006,1.89484,1.90544
KNC,2022-09-13,1.90497,2.00094,1.82635,1.96674
KNC,2022-09-14,1.9691,2.01324,1.87449,1.94839
KNC,2022-09-15,1.94569,2.05928,1.87361,2.00792
KNC,2022-09-16,2.01492,2.05096,1.89182,1.90011
KNC,2022-09-17,1.90011,1.995,1.87591,1.8825
KNC,2022-09-18,1.8832,1.9322,1.26227,1.3781
KNC,2022-09-19,1.374,1.45555,1.3193,1.40434
KNC,2022-09-20,1.40424,1.42194,1.2921,1.29303
KNC,2022-09-21,1.29321,1.34673,1.2032,1.2094
KNC,2022-09-22,1.2093,1.259,1.1935,1.2406
KNC,2022-09-23,1.24752,1.2751,1.16928,1.209
KNC,2022-09-24,1.20962,1.22758,1.19522,1.2012
KNC,2022-09-25,1.2011,1.22086,1.17342,1.1808
KNC,2022-09-26,1.1712,1.17288,1.1222,1.1631
KNC,2022-09-27,1.1631,1.2089,1.124,1.13879
KNC,2022-09-28,1.13879,1.1529,1.08909,1.1431
KNC,2022-09-29,1.1431,1.1479,1.1111,1.14281
KNC,2022-09-30,1.14281,1.19504,1.13761,1.1615
KNC,2022-10-01,1.1605,1.19312,1.1541,1.1628
KNC,2022-10-02,1.1631,1.1859,1.1239,1.1339
KNC,2022-10-03,1.13081,1.14571,1.1043,1.14251
KNC,2022-10-04,1.14291,1.16345,1.13261,1.15845
KNC,2022-10-05,1.15843,1.15885,1.12432,1.14203
KNC,2022-10-06,1.14203,1.17086,1.12824,1.12899
KNC,2022-10-07,1.12879,1.14751,1.11642,1.13046
KNC,2022-10-08,1.13041,1.14078,1.1203,1.12169
KNC,2022-10-09,1.12169,1.13763,1.1181,1.13133
KNC,2022-10-10,1.13153,1.14261,1.09299,1.10339
KNC,2022-10-11,1.1034,1.1034,1.01231,1.02321
KNC,2022-10-12,1.02321,1.03606,1.00713,1.02783
KNC,2022-10-13,1.0278,1.02793,0.8828,0.96529
KNC,2022-10-14,0.96569,0.98216,0.924718,0.924928
KNC,2022-10-15,0.924028,0.972139,0.908882,0.933847
KNC,2022-10-16,0.9329,0.96591,0.914555,0.935947
KNC,2022-10-17,0.936347,0.951986,0.921646,0.944919
KNC,2022-10-18,0.944919,0.955938,0.912409,0.928537
KNC,2022-10-19,0.932693,0.935175,0.888418,0.9035
KNC,2022-10-20,0.903491,0.904827,0.840741,0.847141
KNC,2022-10-21,0.848715,0.855909,0.803092,0.849568
KNC,2022-10-22,0.849559,0.852977,0.832642,0.842476
KNC,2022-10-23,0.841376,0.854494,0.825925,0.850419
KNC,2022-10-24,0.851019,0.872579,0.830717,0.837033
KNC,2022-10-25,0.841134,0.891903,0.83415,0.871279
KNC,2022-10-26,0.871287,0.922749,0.865634,0.922358
KNC,2022-10-27,0.922558,0.944098,0.892171,0.901954
KNC,2022-10-28,0.901854,0.912519,0.866935,0.9086
KNC,2022-10-29,0.907581,0.942105,0.901416,0.918111
KNC,2022-10-30,0.91702,0.978076,0.904662,0.918584
KNC,2022-10-31,0.916983,0.934,0.896291,0.913227
KNC,2022-11-01,0.913545,0.925124,0.891948,0.89581
KNC,2022-11-02,0.89581,0.914308,0.846749,0.859866
KNC,2022-11-03,0.859848,0.89651,0.855657,0.877091
KNC,2022-11-04,0.879,0.951186,0.869491,0.946976
KNC,2022-11-05,0.946876,0.976998,0.944394,0.959658
KNC,2022-11-06,0.956719,0.961848,0.898899,0.903372
KNC,2022-11-07,0.903163,0.903163,0.862912,0.868213
KNC,2022-11-08,0.875062,0.8847,0.592569,0.682742
KNC,2022-11-09,0.682842,0.706705,0.504708,0.508317
KNC,2022-11-10,0.511458,0.695465,0.506712,0.641337
KNC,2022-11-11,0.641592,0.735132,0.574346,0.617478
KNC,2022-11-12,0.617332,0.63306,0.571569,0.571869
KNC,2022-11-13,0.571869,0.610234,0.555853,0.585479
KNC,2022-11-14,0.586795,0.588193,0.533798,0.575893
KNC,2022-11-15,0.578003,0.64965,0.575207,0.616083
KNC,2022-11-16,0.615248,0.639131,0.595628,0.61233
KNC,2022-11-17,0.613341,0.626754,0.59962,0.607925
KNC,2022-11-18,0.607426,0.617793,0.59079,0.596108
KNC,2022-11-19,0.595514,0.616265,0.584245,0.614261
KNC,2022-11-20,0.614161,0.650054,0.581215,0.58441
KNC,2022-11-21,0.584416,0.584428,0.539873,0.555932
KNC,2022-11-22,0.555932,0.565583,0.529143,0.563983
KNC,2022-11-23,0.565409,0.625118,0.562813,0.62302
KNC,2022-11-24,0.623014,0.644249,0.600835,0.621777
KNC,2022-11-25,0.62267,0.623295,0.599462,0.611451
KNC,2022-11-26,0.611445,0.649504,0.611445,0.625831
